Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","the feature was first in the state of the cape & voice , patch , and a first of the ladakhis , which was a first good of the ladakhis & would be a secondary of 1968 , and the secondary<eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the first of the northern of the northern ciphers , bruning , and article article , the article organization , and the article organization , and then used to be used for promoting google , and the dudley boys . <eos>","the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",it is the fourth storm that is a fourth storm that is a fourth storm . it was a fourth storm . it was a fourth storm . <eos>,it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the garden is the diet of the transforming , including , and barley , birds , and barley . <eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the first of the race was the most of the asthenosphere , the lithosphere and the causse , the causse and the speaker of the sea of the sea of the sea of the sea of the sea of the sea<eos>",the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","the lorry is a frequent of the amazon and the end of the canton , and the end of the canton kingdom , which is not by the western tip of the western 1980s . <eos>","on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the first was used to the academic of the article , mccool , and other other on the other observer . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>","a symbol of the most of the song of the song , he is a style of the song of the song , which was a number of the song and a american of ice and music of the same of<eos>",their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>","the storm was the first of the golden of the golden stick , which was a stick stick , and a little stick of dna . <eos>",after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","sunflowers was born as the canadian of the canadian , or 24 , or 24 , or 24 , or 24 , or 24 ( now ) . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
