Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>","aside from this , cameron has often worked in the comic productions , among behind the undertaker , and left behind : the movie , left behind the undertaker , and left behind : the movie , left behind the undertaker , and left behind : the movie , left behind the undertaker , and left<eos>","aside from this , cameron usually worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>"
"so far the ' celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>","so far the ' celebrity ' episodes have included the ' celebrity ' episodes of the ' ' episodes "" . <eos>","until now the ' celebrity ' chapters have shown vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the spacecraft consists of two main elements : the nasa cassini giovanni domenico domenico , named after the book , who was named after the pope , and physicist 's sixth huygens probe , named after the dutch astronomer , mathematician and physicist . <eos>","the spacecraft is having two main parts . one is known as nasa cassini orbiter . it is named after giovanni domenico cassini , an italian-french astronomer . the other part is known as esa huygens probe . it is named after christiaan huygens . he was a dutch astronomer , mathematician and physicist . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",it is also known as a deal who may have reported the other editors who may have reported the world . <eos>,it is possible that the other editors who may have reported you is a part of the conspiracy . similarly the administrator who blocked you may also be a part of the conspiracy . the conspiracy is against someone they have not met in prison . <eos>
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the island of the islands , separated from the scottish ocean by the area of the city , separated from the scottish mainland and the inner ocean by the virginia waters of the hunza , the little flood and the sea of the hebrides . <eos>","the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>"
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","one side of the armed conflicts is composed mainly of the sudanese military military and the united states , a group of group . <eos>","one side of the armed conflicts is made of sudanese military and the janjaweed , a sudanese militia recruited from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>",their granddaughter is a professor of the university of paris . <eos>,"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>","some towns on the british highway in the south-east corner of western australia , between the south australian border , and the south australian border as the national australian , do not follow the south australian border . <eos>",there are some towns in western australia that do not follow official western australian time . <eos>
perry saturn -lrb- with terri -rrb- defeated eddie guerrero -lrb- with chyna -rrb- to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>,"perry saturn -lrb- with the "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -rrb- "" -lrb- -rrb- -rrb- to win the wwf european championship -lrb- ipc -rrb- saturn pinned pinned after a diving kit drop . <eos>",perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>","in architectural decoration , small small small pieces of colored and iridescent shell have been used to create the same system , and the which have been used to create walls , furniture and boxes . <eos>","small pieces of colored and shiny shell has been used to decorate walls , furniture and boxes . <eos>"
