Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","after the death of her husband in 1831 , she tried to find radio at the opera in stockholm , but was the first place there had been filled by the opera in stockholm , but was the first first had supply damaged<eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>","computers using by the 1960s had been largely replaced by bombardier machines , which were smaller , and were smaller , and were more patrie , and were more patrie , and were more patrie . <eos>","computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>","the work of the work of the work of 1952 dynasty through in the 1960s , and was extended by the work of 1952 , and was extended by the uk of the united kingdom . <eos>",the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>","he died on 9 november 1875 , and in 1877 his form as a memorial of him , which was used to found the william morning tag center 1933 on the william morning tag afternoon on the earth and physical . <eos>","in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>","it worked out for both parties involved , however , as the show did better in the cretaceous than it had on your , while historians received much better , and its movie night . <eos>","however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>","for example , a single might off away its composer in its players , but producing these goods would still have required the use of beethoven resources . <eos>","for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"it is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content . <eos>","it is therefore circles to be a or organization and even if longer or even , even if the same of the united kingdom , and the same of the united kingdom . <eos>","it is therefore useless to email our contact addresses asking for permission to reproduce articles or images , even if the rules of operation of your company or school mandate that you ask web site operators before copying their content . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>","another , more once the state , more romantic legend tells , who dropped a golden dish -lrb- golden semimajor , who dropped a golden dish -lrb- golden semimajor it . <eos>","another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","during the war , iraq used chemical 10 against iranian forces through on the southern front and clay channels who were engaged to open up a northern front in iraq with the territory of iran . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>","the penetrating partner stands , and the receiving partner warm their arms around his hearing , allowing bianca either the tag or changing to the man 's penis . <eos>",the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","by the late 1970s , many products such as video jacques contained , the same of the united 1970s , many products such as a replacement to mechanical . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
"of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found . <eos>","of course , all hamilton , including those called scientific laws , can always be replaced by more accurate , sequences were more accurate , sequences were more accurate , sequences were more accurate , bending were a tombstone of theory with miles<eos>","of course , all theories , including those known as laws , can be replaced by more accurate and more general laws , when a disagreement with data is found . <eos>"
"it is the fifth largest country by geographical area , occupying nearly half of south america , the fifth most populous country , and the fourth most populous democracy in the world . <eos>","it is the fifth largest country by geographical area , from the fourth most populous in the world . <eos>",the country is the fifth largest in the world by area . <eos>
"the third form of rock material found on earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both . <eos>","the third form of rock material found on earth is an rock of rear rock types through high pressures , high temperatures , or both . <eos>",metamorphic rock which is made when either of the other two types are changed by high or low temperatures and pressures . <eos>
"however , it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent . <eos>","however , it was not until the threat of invasion by the forces of spain in 1915 that laid were the forces of spain in 1915 that laid were the forces of spain in 1915 that laid were the title in effect .<eos>",it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties . <eos>
"the judge ordered that chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life . <eos>","the judge ordered that racing should receive in prison and sentenced him to his years to life , the same possible of samana years to life . <eos>",he was sentenced to twenty-five years to life in prison in 1981 . <eos>
"he gives lulu a revolver , and orders her to kill herself , but when the schoolboy comes out from under the table he is distracted and she shoots schon instead . <eos>",he gives her to kill the table he is borrowed and she would to kill the table he is felt and she the upbringing theatre out from under the table he is felt and she the first president radio . <eos>,"he gives lulu a revolver , and tells her to kill herself , but she shoots schon instead . <eos>"
"the components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow . <eos>","the components are generally distributed together , have a consistent user interface and usually can lined with each other , sometimes in ways that the operating system would not normally off . <eos>","the parts of an office suite are usually come together , have a standard user interface and usually can interact with each other , sometimes in ways operating system would not normally allow . <eos>"
"a typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>",a typical great hall was a rectangular room between one and a rectangular room between one and a couple as long as it was wide . <eos>,"appearance a great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>"
"being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>","the most much more scale to cold and cut weather conditions , unique enabled the construction of permanent buildings the folded climate disk the use of households fein . <eos>",fired bricks were much more resistant to cold and moist weather conditions.fired bricks enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>
"a succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>","a song of the domain more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>",computing devices became more powerful and flexible during the 1930s and 1940s . <eos>
"however , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings . <eos>","however , the hall of the river flows through tropical heat , where there are few roads and even fewer cities , so there is no need for plural . <eos>","for most of its course , the river flows through tropical rainforest , there are very few roads and cities . <eos>"
macmillan gave lectures on each of the nine symphonies of beethoven which were followed by a performance of the symphony in piano duet arrangement played by macmillan and dale . <eos>,the uncle gave beat on each of the total services of beethoven which were followed by a performance of the symphony in piano towards policy played by national and ethiopia . <eos>,"ernest macmillan gave lectures about each of the nine symphonies by beethoven , after which he and dale would play the whole symphony in a piano duet arrangement . <eos>"
"for example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message . <eos>","for example , in information theory , a signal is a stretched message , that is , the sequence of states in a communication channel that given a message . <eos>","for example , in information theory , a signal is a codified message , ie , the sequence of states in a communications channel that encodes a message . <eos>"
"as a result , the rest of the muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay . <eos>","as a result , the rest of the muslim community is responsible for the main with food , christian , the main with food , christian , and i.e. else they need during their category . <eos>","as a result , the rest of the muslim community is responsible for providing them with food , drinks , and whatever else they need during their stay . <eos>"
"eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>","he tells into the category , but in 2000 the board of directors , it and those appears are now considered to be in the player category . <eos>","eleven players were added into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>"
