Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","he was been he to his first , he was the first of the first , but was the first of the first , but was the first of the first . <eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>",he was the first by the first by the first by the first by the first by the first . <eos>,"computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>",the capital of the capital of the capital of the first of the first of the first of the united kingdom of the united kingdom of the united kingdom on a first of the kingdom of the kingdom of the kingdom of the<eos>,the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>",he was on the first of the first of the first of the first of the first of the first of the first of the first of the first of the first . <eos>,"in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>","it was also , as the first was been the first of the new the main . <eos>","however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>",it was a first of the first of the first of the same of the same of the same of the same . <eos>,"for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"it is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content . <eos>",it is a '' small to the '' person to the same of the same of the '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' same . <eos>,"it is therefore useless to email our contact addresses asking for permission to reproduce articles or images , even if the rules of operation of your company or school mandate that you ask web site operators before copying their content . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>",he was a american american american of a '' a name of a world on the united states on the united states . <eos>,"another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","the first , he was not he on the first of a first , which was the first of a first . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>",the first of the first of the first of the first of the first of the first of the first of the first 's '' the same 's '' the same 's '' world . <eos>,the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","it was also as an first , '' first , '' well as the new name to a name to the new name . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
"of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found . <eos>","of the capital , he was also a first of his york , and also also a '' a '' a '' a '' a '' a '' a '' a '' '' '' '' '' '' '' '' '' '' '' ''<eos>","of course , all theories , including those known as laws , can be replaced by more accurate and more general laws , when a disagreement with data is found . <eos>"
"it is the fifth largest country by geographical area , occupying nearly half of south america , the fifth most populous country , and the fourth most populous democracy in the world . <eos>",it is the '' '' american football by the same . <eos>,the country is the fifth largest in the world by area . <eos>
"the third form of rock material found on earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both . <eos>",the first of the united states of the united states of the united states of the rest of the rest of the rest of the rest of the rest of the rest of the rest of the rest of the rest of the<eos>,metamorphic rock which is made when either of the other two types are changed by high or low temperatures and pressures . <eos>
"however , it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent . <eos>",he was been the first of the first of the first of the same of the same of the same of the same of the same and and was in the new united kingdom . <eos>,it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties . <eos>
"the judge ordered that chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life . <eos>",the first has been his first to the first to the first to the first to the first to the first to the first of the same of the same of the same of the same of the same . <eos>,he was sentenced to twenty-five years to life in prison in 1981 . <eos>
"he gives lulu a revolver , and orders her to kill herself , but when the schoolboy comes out from under the table he is distracted and she shoots schon instead . <eos>","he was a municipality , and a municipality to his new to his to his to the same "" "" . <eos>","he gives lulu a revolver , and tells her to kill herself , but she shoots schon instead . <eos>"
"the components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow . <eos>","the first are also the '' '' '' '' '' '' '' '' american , which a '' '' american . <eos>","the parts of an office suite are usually come together , have a standard user interface and usually can interact with each other , sometimes in ways operating system would not normally allow . <eos>"
"a typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>",a first was a first by a first and a name and a '' a name and a first . <eos>,"appearance a great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>"
"being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>",the first of his new first and the first of the 1950s of the 1950s of the 1950s of the 1950s of the 1950s . <eos>,fired bricks were much more resistant to cold and moist weather conditions.fired bricks enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>
"a succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>",a municipality of the capital of the capital of the same and the first of the same and the same and the first name that was not in the same . <eos>,computing devices became more powerful and flexible during the 1930s and 1940s . <eos>
"however , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings . <eos>","the capital of the first of the first of the first of the first of the united states , which is a '' '' american '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''<eos>","for most of its course , the river flows through tropical rainforest , there are very few roads and cities . <eos>"
macmillan gave lectures on each of the nine symphonies of beethoven which were followed by a performance of the symphony in piano duet arrangement played by macmillan and dale . <eos>,the first of the capital of the capital of the capital of the first of the first of the first of the first of the first in the first of the first in the world in the world in the world . <eos>,"ernest macmillan gave lectures about each of the nine symphonies by beethoven , after which he and dale would play the whole symphony in a piano duet arrangement . <eos>"
"for example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message . <eos>",it was a '' a '' a '' a '' a '' a '' a '' a name . <eos>,"for example , in information theory , a signal is a codified message , ie , the sequence of states in a communications channel that encodes a message . <eos>"
"as a result , the rest of the muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay . <eos>","as a first , the first of the same is the first of the same "" . <eos>","as a result , the rest of the muslim community is responsible for providing them with food , drinks , and whatever else they need during their stay . <eos>"
"eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>",he was the first of the first of the united states and and and and and and and and and and and and and and and and and and and and and and and it was not in the united states . <eos>,"eleven players were added into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>"
"the term was coined by thomas henry huxley in april 1860 , and was used to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>","the first was was been by by a first by the first of his world , and was been to the first of the new world . <eos>","the term was coined by thomas henry huxley in april 1860 . he used it to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>"
a boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip . <eos>,a municipality is a municipality of the belgian and the belgian and the belgian and the belgian and the 1950s and the 1950s . <eos>,a boot is a type of footwear that protects the foot and ankle . <eos>
"in archaeology , an artifact or artefact is any object made or modified by a human culture , and often one later recovered by some archaeological endeavor . <eos>",in the american is '' a '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' time . <eos>,"in archaeology , an artifact or artefact is an object made or modified by a human culture . <eos>"
"almost as soon as he leaves , annius and the guard publius arrive to escort vitellia to titus , who has now chosen her as his empress . <eos>","he as the first of the first , and the first of the first to the first of the first . <eos>","almost as soon as he leaves , annius and the guard publius arrive to take vitellia to titus , who has now chosen her as his empress . <eos>"
"deomyines share no morphological characteristics that can be used to separate them from other muroids , though subtle aspects of the third upper molar have been suggested . <eos>",he was not to his his to his his to his first to his other . <eos>,"deomyines share no morphological characteristics that can be used to separate them from other muroids . subtle aspects of the third upper molar have been suggested , though . <eos>"
december is the twelfth and last month of the year in the gregorian calendar and one of seven gregorian months with the length of 31 days . <eos>,the capital is located of the belgian of the belgian of the belgian of the belgian of the belgian of the belgian of the canton of the canton . <eos>,"december is the twelfth and last month of the year , with 31 days . <eos>"
"egypt is famous for its ancient civilization and some of the world 's most famous monuments , including the giza pyramid complex and its great sphinx . <eos>",the first of the united states 's first of the united states 's first 's first . <eos>,"egypt is famous for its very old monuments , such as the pyramids and the sphinx . <eos>"
"the episodes ran 35 minutes , and episodes were very often edited to a standard half-hour running time when repeated on the bbc or satellite channels . <eos>",the first of the first of the first of a '' a name of a '' a '' a world . <eos>,"the episodes ran 35 minutes , and many episodes were cut when repeated on the bbc or satellite channels . <eos>"
