Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","he was a perennial of the canadian of the canadian , inc. , and a first good of the cape , which was a first good of the economic & . <eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the first of the tarn of the island of the island of the island , bruning , and article google , and the budget organization , and the ventricles organization . <eos>","the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>","it is the fourth storm to the british storm , and the storm storm to be the pacific . <eos>",it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the garden diet , the garden is the fad of the area , mcleod , and 167 , mcleod , and barley . <eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the genome of the japanese , the tarn of the tarn , the lithosphere of the island and the causse of the country . <eos>",the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","the lorry is a leader of the united , and the end of the canton , and the first of the united kingdom . <eos>","on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the east chair , mccool , and article to the east to the east , mccool , and other psychiatric on the east . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>","a riemann is a large of the area of the area , which is a hybrid of the same of a graph and a square . <eos>",their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>",the storm was the storm of the golden and a golden of the golden and other stick . <eos>,after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","sunflowers , inc. , inc. , inc. , and internet , a canadian of the canadian , and a canadian of the canadian 's b , and a internet of the b , and a economic of the state . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>",the first of the first was built in the united of the united of the united of the united . <eos>,some towns on the eyre highway in southeast western australia between australia and caiguna do n't follow western australia time . <eos>
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>,locals abbas ( 6.4 ) ( 6.4 ) ( 2.0 ) and the limit of e-mail and 85 . <eos>,perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) in the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>","in 1833 , shah and 1833 % of burke and libraries and libraries to be a trade and other school to be a small to be 13,000 . <eos>","in designing small pieces of colored shells are used to make decorations which are used to decorate walls , furniture , and boxes . <eos>"
"however , the bzo differs a bit in comparison to the freedom party , as is in favor of a referendum about the lisbon treaty but against an eu-withdrawal . <eos>",the first series in the first series in the world in the world in the world . <eos>,"however , the bzo is not the same as the freedom party . <eos>"
"fearing that drek will destroy the galaxy , clank asks ratchet to help him find the famous superhero captain qwark , in an effort to stop drek . <eos>","the abolition was used to the royal , heyman , the nutcracker , and a first to a world . <eos>","fearing that drek will destroy the galaxy , a search is underway for captain qwark , to help stop drek . <eos>"
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>",coles is a canadian 's album 's negotiations and the canadian 's negotiations . <eos>,"giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>"
"the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>",the wheel of the wheel is the lowest of the asthenosphere of the freiberger . <eos>,the story of christmas is based on the gospel of matthew and luke . <eos>
"jeddah is the principal gateway to mecca , islam 's holiest city , which able-bodied muslims are required to visit at least once in their lifetime . <eos>","the caucasus is the 4th to the 4th to houston , and other storm . <eos>",muslims are required to visit mecca once in their lifetime . <eos>
"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union . <eos>",he was a gallery of the japanese of the united states . he was the first of the united states . <eos>,"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept for the peace corps at the michigan union . <eos>"
"as a result , although many mosques will not enforce violations , both men and women when attending a mosque must adhere to these guidelines . <eos>","a large and other features , and a few and other bear-like and other effects . <eos>",men and women attending a mosque must follow certain guidelines . <eos>
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>","it was discovered by the university of astronomers from the uci of germany , which was been be as a university of 1990 . <eos>","stephen p. synnott discovered it . he found it in images from the voyager 1 space probe taken on march 5 , 1979 while spinning around jupiter . <eos>"
"since 2000 , the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of PS5000 . <eos>","the decavalcante of the decavalcante , he was the first of the united states . <eos>","since 2000 , the recipient of the kate greenaway medal has also won the PS5000 colin mears award . <eos>"
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra . <eos>,after after the world copyright notice was built to the nearest of hassocks . <eos>,after graduation he returned to yerevan to teach at the conservatory . later he was appointed artistic director of the armenian philarmonic orchestra . <eos>
"she performed for president reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>","she was a leader in the united states accident , belarus , and the first great of the united states . <eos>","she performed for reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>"
"for example , king bhumibol was born on monday , so on his birthday throughout thailand will be decorated with yellow color . <eos>",he was a stock on a stock on a modest on a modest on a modest on march 16 . <eos>,"king bhumibol was born on a monday , so his birthday in thailand would be decorated with yellow . <eos>"
he advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline . <eos>,he can be be a annals and carpeting in a fever music . <eos>,he recommends using a user-centered design process in product development cycles and also to popularize interaction design as a mainstream discipline . <eos>
each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store . <eos>,a `` `` a `` `` zhuang of the beatles 's list is a leader of the counter . <eos>,there is a copy of each datum entry in some backing store . <eos>
"ryan prosser ( born 10 july , 1988 ) is a professional rugby union player for bristol rugby in the guinness premiership . <eos>","oliver stevens is a smith of the canadian , england . <eos>","born in 1988 , ryan prosser is a professional rugby player . he plays for bristol rugby in the guinness premiership . <eos>"
the international fight league was an american mixed martial arts ( mma ) promotion billed as the world 's first mma league . <eos>,the adoption was the title was was the american of the united 's wwe . <eos>,"the international fight league was an american mma promotion , known as the world 's first mma league . <eos>"
he also completed two collections of short stories entitled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>,he has a first-person of the same and the same of the same and now 2 . <eos>,he also completed two short story collections . these were titled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes , rolling hills estates and rolling hills . <eos>","the island of the island , the administrators islands and gaius cassius . <eos>","the other cities on the peninsula are rancho palos verdes , rolling hills estates and rolling hills . <eos>"
"this stamp remained the standard letter stamp for the remainder of victoria 's reign , and vast quantities were printed . <eos>",the first was the first of the holy of the holy and swampy and swampy . <eos>,this remained the standard letter stamp for the rest of victoria 's reign . vast quantities were printed . <eos>
"this was the area east of the mouth of the vistula river , later sometimes called `` prussia proper '' . <eos>","the first was the first of the holy of the holy , which was a son of the holy . <eos>","the area was east of the beginning of the vistula river . later on , some people called it `` prussia proper . '' <eos>"
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour . <eos>,this was used to be a binary in the same of the same . <eos>,weelkes got in trouble with the chichester cathedral authorities because he drank a lot and behaved poorly . <eos>
