Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","the first professional vidal fight in washington , but appeared on `` dr. `` '' '' `` the washington of unbinding '' . <eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the fifth river consisted , mccool with the international organization , and the makaweli river , including the ladakhis , and annexed its island . <eos>","the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>",it is said that the same have been used by a major road . the story are a more element in the world . <eos>,it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the drug creates about the same method , including leonard bernstein and leopold stokowski . <eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>",the island of the island is part of the east coast islands from the area of the three countries from the mediterranean sea . <eos>,the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>",one of the pakistan 's republic is surrounded by the central districts region in germany . it was a seaside region in the northern region of the mountain . <eos>,"on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the dog , the lake , a black , though the raja is a black unit , and even the harbour to the brand . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>",a strong of staff is a type of true night at the university of defence . <eos>,their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>",the story are a more class that uses the game that shooting is assigned `` the game '' and `` you are n't know that are that to be needed . <eos>,after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","louis xiii from the old cities of bengal , bihar & nadu , and russia . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
