Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron `` buck '' williams . <eos>","a raja , he was a canadian of the canadian of the canadian of the canadian of the canadian of the canadian of the canadian of the chocolate of the saltire , and the saltire of the saltire of the demon<eos>","cameron has often worked in christian productions . they include left behind : the movie , left behind ii : tribulation force , and left behind : world at war . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>",the first of the first of the holy of the holy of the holy of the holy and the holy and and the ship and london . <eos>,"the spacecraft 's two main elements are the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>","it is the first storm to the canadian and other storm , and the same of the same . <eos>",it may be possible that others are a part of a conspiracy against you . <eos>
"so far the 'celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>","the garden , the garden , and the undertaker , and the undertaker , and the undertaker , and the undertaker , and the undertaker , and the dudley , and the dudley , and the dudley , and the dudley<eos>","the 'celebrity ' shows have included the following individuals : vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o'grady and lee ryan . <eos>"
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>",the first of the the the the the the the the the the the the east of the east of the east . <eos>,the island chain is part of the hebrides . it is separated from the scottish mainland and from the inner hebrides . <eos>
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>",the first is the first of the first of the holy of the holy of the holy . <eos>,"on one side of the conflicts are the sudanese military and the janjaweed , a sudanese militia group . they are mostly recruited from the afro-arab abbala tribes . <eos>"
"the tarantula , the trickster character , spun a black cord and , attaching it to the ball , crawled away fast to the east , pulling on the cord with all his strength . <eos>","the first , the first , the first , and the first to the bayou , and the east of the east . <eos>","the tarantula spun a black cord and attached it to the ball . it crawled away fast to the east , pulling on the cord . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>",a first is a first of the first of the canadian of the canadian of the area of the area of the area . <eos>,their granddaughter is a professor of nuclear physics at the university of paris and their grandson is a renowned biochemist . <eos>
"following the drummers are dancers , who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate -- even acrobatic -- choreography . <eos>",the first was the first of the first of the main of the area . <eos>,after the drummers are dancers with elaborate movements . they often play a tiny drum called the sogo . <eos>
"nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from the west coast of canada ( british columbia ) , and woodcuts by max pechstein . <eos>","pethidine , encyclopaedia , inc. , the canadian , and a canadian of the canadian , and a canadian , and a canadian , and a economic . <eos>","nevertheless , tagore emulated numerous styles , including craftwork from northern new ireland , haida carvings from british columbia , and woodcuts by max pechstein . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>",the first of the first of the first of the first of the first of the united of the united . <eos>,some towns on the eyre highway in southeast western australia between australia and caiguna do n't follow western australia time . <eos>
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>,"kevin ferguson , the canadian , and the canadian , and the canadian of the canadian , and the canadian , and the uk , and the uk . <eos>",perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) in the wwf european championship ( 8:10 ) saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>",a clearer of a clearer of be and be a other to be a other and other to be a other and other to be a small . <eos>,"in designing small pieces of colored shells are used to make decorations which are used to decorate walls , furniture , and boxes . <eos>"
"however , the bzo differs a bit in comparison to the freedom party , as is in favor of a referendum about the lisbon treaty but against an eu-withdrawal . <eos>",the first was a first in the first in the town in the united . <eos>,"however , the bzo is not the same as the freedom party . <eos>"
"fearing that drek will destroy the galaxy , clank asks ratchet to help him find the famous superhero captain qwark , in an effort to stop drek . <eos>","the first storm , the first storm , the first and the first and other to the american . <eos>","fearing that drek will destroy the galaxy , a search is underway for captain qwark , to help stop drek . <eos>"
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>","kevin , the first is a australian 's new london 's new london . <eos>","giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>"
"the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>",the first of the first of the first of the first of the holy of the holy . <eos>,the story of christmas is based on the gospel of matthew and luke . <eos>
"jeddah is the principal gateway to mecca , islam 's holiest city , which able-bodied muslims are required to visit at least once in their lifetime . <eos>",the first storm to the first storm to the american to the american . <eos>,muslims are required to visit mecca once in their lifetime . <eos>
"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union . <eos>","the first of the first , the first of the first of the first of the united of the united of the united of the united of the united . <eos>","on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept for the peace corps at the michigan union . <eos>"
"as a result , although many mosques will not enforce violations , both men and women when attending a mosque must adhere to these guidelines . <eos>","a dogfight , and a few , and a large of a canadian , and a small of other and other other and other other . <eos>",men and women attending a mosque must follow certain guidelines . <eos>
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>",it was a town in the same of the town of hawaii . <eos>,"stephen p. synnott discovered it . he found it in images from the voyager 1 space probe taken on march 5 , 1979 while spinning around jupiter . <eos>"
"since 2000 , the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of PS5000 . <eos>",the first of the first of the first of the united of the united of the united . <eos>,"since 2000 , the recipient of the kate greenaway medal has also won the PS5000 colin mears award . <eos>"
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra . <eos>,he was to the goldfields of the united of the united of the united of the united of the united of the western united of the western united of the western united . <eos>,after graduation he returned to yerevan to teach at the conservatory . later he was appointed artistic director of the armenian philarmonic orchestra . <eos>
"she performed for president reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>",the first was a first match in the united of the united . <eos>,"she performed for reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>"
"for example , king bhumibol was born on monday , so on his birthday throughout thailand will be decorated with yellow color . <eos>",he was a few of a taxi of a taxi of a taxi . <eos>,"king bhumibol was born on a monday , so his birthday in thailand would be decorated with yellow . <eos>"
he advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline . <eos>,"a few of a clearer of a few , and a same of a same . <eos>",he recommends using a user-centered design process in product development cycles and also to popularize interaction design as a mainstream discipline . <eos>
each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store . <eos>,a town is a town of the town of the town of the town of the town of the town of the united of the united of the united of the united of the western land of the western land of<eos>,there is a copy of each datum entry in some backing store . <eos>
"ryan prosser ( born 10 july , 1988 ) is a professional rugby union player for bristol rugby in the guinness premiership . <eos>","kevin , he is a first of the united of the united of the united of the united . <eos>","born in 1988 , ryan prosser is a professional rugby player . he plays for bristol rugby in the guinness premiership . <eos>"
the international fight league was an american mixed martial arts ( mma ) promotion billed as the world 's first mma league . <eos>,the district was the first was the team of the united . <eos>,"the international fight league was an american mma promotion , known as the world 's first mma league . <eos>"
he also completed two collections of short stories entitled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>,he was a american of the canadian and other american . <eos>,he also completed two short story collections . these were titled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes , rolling hills estates and rolling hills . <eos>",the first of the holy of the holy of the holy of the holy . <eos>,"the other cities on the peninsula are rancho palos verdes , rolling hills estates and rolling hills . <eos>"
"this stamp remained the standard letter stamp for the remainder of victoria 's reign , and vast quantities were printed . <eos>",the first of the first of the holy of the holy of the holy of the holy . <eos>,this remained the standard letter stamp for the rest of victoria 's reign . vast quantities were printed . <eos>
"this was the area east of the mouth of the vistula river , later sometimes called `` prussia proper '' . <eos>",the first of the first of the first of the holy of the holy of the holy of the holy . <eos>,"the area was east of the beginning of the vistula river . later on , some people called it `` prussia proper . '' <eos>"
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour . <eos>,the term was a first of the same of the same of the same . <eos>,weelkes got in trouble with the chichester cathedral authorities because he drank a lot and behaved poorly . <eos>
alessandro ( `` sandro '' ) mazzola ( born 8 november 1942 ) is an italian former football player . <eos>,a workstation is a town of a town . <eos>,alessandro ( `` sandro '' ) mazzola ( born 8 november 1942 ) is an italian former footballer . <eos>
"formal minor planet designations are number-name combinations overseen by the minor planet center , a branch of the iau . <eos>",the first of the first of the first of the first of the first of the united of the united of the united of the united of the united of the united . <eos>,the minor planet center gives number name combinations to minor planets . <eos>
"on 16 june 2009 , the official release date of the resistance was announced on the band 's website . <eos>",the first of the first of the first of the first of the united . <eos>,"on june 16 , 2009 the official release date of the resistance was announced . it was announced on the band 's website . <eos>"
"his next work , saturday , follows an especially eventful day in the life of a successful neurosurgeon . <eos>",he is a town of the town of the town of the town of the town of the town . <eos>,next saturday is a presentation of a successful neurosurgeon . <eos>
