Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","after the death of her husband in stockholm , she was a position , as her place there had been made by petting and they were said her voice . <eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>","it also made her electronic elements were smaller in use throughout the 1950s , but by the 1960s had been replaced by the 1960s . <eos>","computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>","here , of evolution , and was extended by alex by pretorious . <eos>",the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>","he died on 9 november , and in his first player he went to the university of sydney as a memorial of him , which was used to be found the young award and physical arsenal . <eos>","in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>","it worked for both parties , however , as the show did not be on the first than it had on the ratings than it had on the same than it did before before before before it did before before before before it did before before<eos>","however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>","for example , a few cell give away in its own , but they are these to be a free good in an economic sense . <eos>","for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>","another , more in the river on which the city is located in the river on which the city is located while it is located for the river on which the city is located while it is located it . <eos>","another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","during the war , the iraq of the iraq , and the surviving used who were not open up to open up up a northern front in iraq with the help and the outflow of iran . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>","the penetrating partner , and the receiving partner their arms around his partner , thereby the map or to the man 's penis . <eos>",the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","by the late 1970s , many products such as video , and they started to be a replacement way in domestic activities such as thrushes . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
"of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found . <eos>","of the course of the value , all of theory with data data , or if a light of theory with data data data is ever found . <eos>","of course , all theories , including those known as laws , can be replaced by more accurate and more general laws , when a disagreement with data is found . <eos>"
"it is the fifth largest country by geographical area , occupying nearly half of south america , the fifth most populous country , and the fourth most populous democracy in the world . <eos>",it is the fifth largest country by the fifth country . <eos>,the country is the fifth largest in the world by area . <eos>
"the third form of rock material found on earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both . <eos>","the third form of rock material on earth is the lead of the rock rock rock types of the rock rock band through high , high temperatures , high temperatures , high temperatures , high temperatures , high temperatures , high temperatures , high temperatures ,<eos>",metamorphic rock which is made when either of the other two types are changed by high or low temperatures and pressures . <eos>
"however , it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent . <eos>","however , it was not until the first of invasion by the forces of spain in the forces of spain . <eos>",it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties . <eos>
"the judge ordered that chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life . <eos>",the judge that get should receive a lot less than the maximum possible of the year of the year of the year of the year . <eos>,he was sentenced to twenty-five years to life in prison in 1981 . <eos>
"he gives lulu a revolver , and orders her to kill herself , but when the schoolboy comes out from under the table he is distracted and she shoots schon instead . <eos>","he has a picture , and her husband her to kill the same reality . <eos>","he gives lulu a revolver , and tells her to kill herself , but she shoots schon instead . <eos>"
"the components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow . <eos>",the components are generally distributed . <eos>,"the parts of an office suite are usually come together , have a standard user interface and usually can interact with each other , sometimes in ways operating system would not normally allow . <eos>"
"earth 's interior remains active , with a thick layer of relatively solid mantle , a liquid outer core that generates a magnetic field , and a solid iron inner core . <eos>","earth 's interior remains , with a thick of relatively people , a liquid of relatively relatively solid , a liquid of relatively solid , or a solid iron inner . <eos>","everything that lives on earth is on top of the crust . below that is a layer of thick , liquid rock called the mantle . under that is a thin liquid layer called the outer core and then the solid iron inner core . <eos>"
"a typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>","a typical great hall was a big and three times as long as it was only , and also higher times as long as it was not . <eos>","appearance a great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>"
"being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>","being much more to cold and avoid weather conditions , and they were used for cold conditions , and they were not conditions . <eos>",fired bricks were much more resistant to cold and moist weather conditions.fired bricks enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>
"a succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>",a tomb of the more more more powerful and flexible computing devices were constructed in modern computers . <eos>,computing devices became more powerful and flexible during the 1930s and 1940s . <eos>
"however , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings . <eos>","however , the original flows through tropical storm , where there are few days and even fewer cities . <eos>","for most of its course , the river flows through tropical rainforest , there are very few roads and cities . <eos>"
macmillan gave lectures on each of the nine symphonies of beethoven which were followed by a performance of the symphony in piano duet arrangement played by macmillan and dale . <eos>,"he were followed by a performance of the symphony in 1914 , although he followed by pretorious and advertising . <eos>","ernest macmillan gave lectures about each of the nine symphonies by beethoven , after which he and dale would play the whole symphony in a piano duet arrangement . <eos>"
"for example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message . <eos>","for example , in information , information , a signal is a binary message , that is the sequence of states in a communication channel that allows a message . <eos>","for example , in information theory , a signal is a codified message , ie , the sequence of states in a communications channel that encodes a message . <eos>"
"as a result , the rest of the muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay . <eos>","as a result , the rest of the muslim community is responsible for the food with food , and several towns else they have during their gods . <eos>","as a result , the rest of the muslim community is responsible for providing them with food , drinks , and whatever else they need during their stay . <eos>"
"eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>","the category , but in 2000 , 2000 in 2000 the board of the state of directors and those are now considered to be in the player . <eos>","eleven players were added into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>"
"the term was coined by thomas henry huxley in april 1860 , and was used to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>","the term was seen by thomas henry de musique in april and was used to describe evolutionary , including the entire episode of thomas technology . <eos>","the term was coined by thomas henry huxley in april 1860 . he used it to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>"
a boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip . <eos>,a servant is a type of that of the band that has a type of that action . <eos>,a boot is a type of footwear that protects the foot and ankle . <eos>
"in archaeology , an artifact or artefact is any object made or modified by a human culture , and often one later recovered by some archaeological endeavor . <eos>","in archaeology , an artificial or paper is any object made by some two people . <eos>","in archaeology , an artifact or artefact is an object made or modified by a human culture . <eos>"
"almost as soon as he leaves , annius and the guard publius arrive to escort vitellia to titus , who has now chosen her as his empress . <eos>","he was soon as he leaves to be , who has now her her her friend as his friend . <eos>","almost as soon as he leaves , annius and the guard publius arrive to take vitellia to titus , who has now chosen her as his empress . <eos>"
"deomyines share no morphological characteristics that can be used to separate them from other muroids , though subtle aspects of the third upper molar have been suggested . <eos>","fritz share no characteristics said that can be used to be separate them from other days , though they are not found to be worn from other days . <eos>","deomyines share no morphological characteristics that can be used to separate them from other muroids . subtle aspects of the third upper molar have been suggested , though . <eos>"
december is the twelfth and last month of the year in the gregorian calendar and one of seven gregorian months with the length of 31 days . <eos>,december december december is the first and last of the year in the belgian calendar and one of seven britain . <eos>,"december is the twelfth and last month of the year , with 31 days . <eos>"
"egypt is famous for its ancient civilization and some of the world 's most famous monuments , including the giza pyramid complex and its great sphinx . <eos>",egypt is famous for its ancient civilization and some of the world 's most famous monuments of the world 's most famous monuments . <eos>,"egypt is famous for its very old monuments , such as the pyramids and the sphinx . <eos>"
"the episodes ran 35 minutes , and episodes were very often edited to a standard half-hour running time when repeated on the bbc or satellite channels . <eos>","the episodes of the episodes 's sister , and episodes were very very very very very very very very very very time when repeated repeated on the bbc or release . <eos>","the episodes ran 35 minutes , and many episodes were cut when repeated on the bbc or satellite channels . <eos>"
"it is revealed in the second episode that he is the current incarnation of the avatar , the spirit of the planet manifested in human form . <eos>",it is in the second episode that he is the current of the planet in human form . <eos>,"it the second episode , aang was shown to be the current incarnation of the avatar , the spirit of the planet as a human . <eos>"
