Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","after the death of her husband in 1831 , she tried to find the opera in stockholm , but was a position , as her place . <eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>","it is also known as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by the 1960s . <eos>","computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>","here , the science , and was extended by alex fraser who who published a series of papers on using approach of artificial selection . <eos>",the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>","he died on 9 november 1875 , and in his last he went to be found the william hilton . <eos>","in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>",it worked out out on the show in the ratings than it had on the show in the ratings than it had on the show in the ratings than it had on the same movie . <eos>,"however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>","for example , a few cell give away its young in its own , but producing these goods would have the use of information resources . <eos>","for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>","another , more romantic , more romantic , more a golden universal -lrb- golden vertical -rrb- in the river on which the city is located while it . <eos>","another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","during the war , iraq used to be open up against pakistan and the war . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>","the penetrating partner , and the receiving partner , and the receiving partner , and the receiving partner their arms around his waist , thereby to the man 's penis . <eos>",the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","by the late 1970s , many products such as video a.m. a.m. and they started to appear as a replacement to mechanical people in domestic damage such as memoria . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
