Original,Prediction,Simplified sentences
"after the death of her husband in 1831 , she tried to find employment at the opera in stockholm , but was denied a position , as her place there had been filled by henriette widerberg , and they were concerns that her voice had ben damaged . <eos>","after the death of her districts in the opera in the opera in the opera in europe , she was the first place there had been the most place . <eos>","after that , she tried to get work in the opera in sweden again , but her place there was occupied by a new singer , henriette widerberg . <eos>"
"computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable . <eos>","there were the 1960s had been set of the 1950s , but by the 1960s had been set , and were smaller , and were more , about as about less , and were more zogby . <eos>","computers that used vacuum tubes as their electronic elements were in use throughout the 1950s . vacuum tube electronics were largely replaced in the 1960s by transistor-based electronics , which are smaller , faster and cheaper to produce . <eos>"
"here , simulations of evolution using evolutionary algorithms and artificial life started with the work of nils aall barricelli in the 1960s , and was extended by alex fraser , who published a series of papers on simulation of artificial selection . <eos>","the work of the work of the work of the work of the work of the work of the work of the work of the whole , and was found by the work of the remaining . <eos>",the work of nils aall barricelli in these fields started in the 1960s . he published a series of papers on the simulation of artificial selection . <eos>
"he died on 9 november 1875 , and in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to found the william hilton hovell lectureship on geology and physical geography . <eos>","he died on november -rrb- , and in may on 9 november , which was used to found the most important of the most title dynasty center the most important of the title ' the title ' above center where and the second<eos>","in 1877 his widow left # 6000 to the university of sydney as a memorial of him , which was used to start the william hilton hovell lectureship on geology and physical geography . <eos>"
"it worked out for both parties involved , however , as the show did better in the ratings than it had on thursdays , while upn received much better ratings on fridays than it did before , with its movie night . <eos>","it worked out for both storm , however , as the show did better in the top than it had on your , while johnny the show than it did before , with its island night . <eos>","however , it worked out for both parties involved , as the show did better in the ratings than it had on thursdays , while upn got much better ratings on fridays than it did before , with its movie night . <eos>"
"for example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense . <eos>","for example , a single key , a single these , a given good in an word of the use of your resources , so that would not be a free good in an own . <eos>","for example , a shop might give away its stock in its promotion , but for the production of these goods , resources were needed , so this would not be a free good in an economic sense . <eos>"
"it is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content . <eos>","it is also also a large rating to be a or organization and even , even if even at your . <eos>","it is therefore useless to email our contact addresses asking for permission to reproduce articles or images , even if the rules of operation of your company or school mandate that you ask web site operators before copying their content . <eos>"
"another , more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>","another , more using a companion princess silva , who worked a golden drama -lrb- first deg -rrb- in to the river on which the city is located while the city is located while the city is located . <eos>","another , a more romantic legend tells a story of a tatar princess soyembika , who dropped a golden dish -lrb- golden qazan -rrb- in to the river on which the city is located while washing it . <eos>"
"during the war , iraq used chemical weapons against iranian forces fighting on the southern front and kurdish separatists who were attempting to open up a northern front in iraq with the help of iran . <eos>","during the war , german used chemical 10 against the war , television used 10 against the southern front and show mode who were been the development of great . <eos>","during the war , iraq used chemical weapons against iranian forces and kurdish separatists . <eos>"
"the penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis . <eos>","the christian saw began , and the first saw hypothesis their arms around his depression , and their way around his ability , making towards either the needs or the way or the way . <eos>",the receiving partner sits on top and wraps their legs around the penetrating partner . <eos>
"by the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines . <eos>","by the late cross , many products such as video 30 john , and they started to hurricane as a only to three . <eos>","by the 1980s , computers became small and cheap enough to replace simple mechanical controls in domestic appliances such as washing machines . <eos>"
"of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found . <eos>","of the uk , all the same by more times , the storm , including those , the same by more times , the uk data by more times , the uk data is often found . <eos>","of course , all theories , including those known as laws , can be replaced by more accurate and more general laws , when a disagreement with data is found . <eos>"
"it is the fifth largest country by geographical area , occupying nearly half of south america , the fifth most populous country , and the fourth most populous democracy in the world . <eos>","it is the fifth largest country by chinese area , which is the fourth most first player in the world . <eos>",the country is the fifth largest in the world by area . <eos>
"the third form of rock material found on earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both . <eos>","the third form of rock material found on earth "" your rock of the family of the body of the kingdom through high metres , high , high , or both . <eos>",metamorphic rock which is made when either of the other two types are changed by high or low temperatures and pressures . <eos>
"however , it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent . <eos>","however , it was not until the village of the village in saddam that is a important to all the middle of the way that is a important in software . <eos>",it was not until the threat of invasion by the forces of spain in 1585 that lieutenants were appointed to all counties . <eos>
"the judge ordered that chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life . <eos>","the father was often more around the maximum of heat , the uk strengthened that often more to life , the maximum possible of heat years to life . <eos>",he was sentenced to twenty-five years to life in prison in 1981 . <eos>
"he gives lulu a revolver , and orders her to kill herself , but when the schoolboy comes out from under the table he is distracted and she shoots schon instead . <eos>","he is a mask , and several her to get to raise ' '' the band he is reasonably and she would been the '' stage he is reasonably and she would . <eos>","he gives lulu a revolver , and tells her to kill herself , but she shoots schon instead . <eos>"
"the components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow . <eos>","the monastery are generally the operating system would , have a highly user with each other , sometimes in the operating system would not the operating system would not the operating system . <eos>","the parts of an office suite are usually come together , have a standard user interface and usually can interact with each other , sometimes in ways operating system would not normally allow . <eos>"
"a typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>",a tropical of the one and a few railway between one and three times as it was given . <eos>,"appearance a great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>"
"being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>","the first flag more development , the mask is a member of the severnaya and computer the use of the severnaya and the folded of chakwal into the folded . <eos>",fired bricks were much more resistant to cold and moist weather conditions.fired bricks enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>
"a succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>",a song of the original and the key features that are seen in the ground and the key features that are seen in modern . <eos>,computing devices became more powerful and flexible during the 1930s and 1940s . <eos>
"however , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings . <eos>","however , the hall of the river had through tropical heat , where there are a few into and even . <eos>","for most of its course , the river flows through tropical rainforest , there are very few roads and cities . <eos>"
macmillan gave lectures on each of the nine symphonies of beethoven which were followed by a performance of the symphony in piano duet arrangement played by macmillan and dale . <eos>,the father of the father of the new same of the new time of the same in piano which were died by a part of the same in piano . <eos>,"ernest macmillan gave lectures about each of the nine symphonies by beethoven , after which he and dale would play the whole symphony in a piano duet arrangement . <eos>"
"for example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message . <eos>","for example , in the same , a way is a possible message , that is , the center of the center of the in a computer that found a message . <eos>","for example , in information theory , a signal is a codified message , ie , the sequence of states in a communications channel that encodes a message . <eos>"
"as a result , the rest of the muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay . <eos>","as a book , the rest of the muslim community is responsible for the main with food , christian , and given % they being during their storm . <eos>","as a result , the rest of the muslim community is responsible for providing them with food , drinks , and whatever else they need during their stay . <eos>"
"eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>",he was found into the last of the world of the world of the world of the uk . <eos>,"eleven players were added into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>"
"the term was coined by thomas henry huxley in april 1860 , and was used to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>","the term was found by the term was now by many important henry own in april systems , including she decided such as 0e and hops . <eos>","the term was coined by thomas henry huxley in april 1860 . he used it to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>"
a boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip . <eos>,a companion is a type of men that found at least the armenian and the ankle and sometimes fire up to the nwa or even the person . <eos>,a boot is a type of footwear that protects the foot and ankle . <eos>
"in archaeology , an artifact or artefact is any object made or modified by a human culture , and often one later recovered by some archaeological endeavor . <eos>","in the u.s. , an object or e. is any not or used by a human "" , and often one later role by some person areas . <eos>","in archaeology , an artifact or artefact is an object made or modified by a human culture . <eos>"
"almost as soon as he leaves , annius and the guard publius arrive to escort vitellia to titus , who has now chosen her as his empress . <eos>","most as he won the armenian moved , causing and the armenian moved of get , who has now years her as his resistance . <eos>","almost as soon as he leaves , annius and the guard publius arrive to take vitellia to titus , who has now chosen her as his empress . <eos>"
