Original,Prediction,Simplified sentences
"aside from this , cameron has often worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>","the movie , cameron has often worked in gloucester productions , among them the qing films left behind : the movie , left behind ii : robinson at war , in which he plays cameron "" . <eos>","aside from this , cameron usually worked in christian-themed productions , among them the post-rapture films left behind : the movie , left behind ii : tribulation force , and left behind : world at war , in which he plays cameron "" buck "" williams . <eos>"
"so far the ' celebrity ' episodes have included vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>","so far the ' murray ' episodes have included favorable , nancy hoxha , american considerable , paul o ' weapons , and lee ryan . <eos>","until now the ' celebrity ' chapters have shown vic reeves , nancy sorrell , gaby roslin , scott mills , mark chapman , simon gregson , sue cleaver , carol thatcher , paul o ' grady and lee ryan . <eos>"
"the spacecraft consists of two main elements : the nasa cassini orbiter , named after the italian-french astronomer giovanni domenico cassini , and the esa huygens probe , named after the dutch astronomer , mathematician and physicist christiaan huygens . <eos>","the spacecraft consists of two main s : the nasa cassini magazine , named after the dutch astronomer , process and physicist jazz problems . <eos>","the spacecraft is having two main parts . one is known as nasa cassini orbiter . it is named after giovanni domenico cassini , an italian-french astronomer . the other part is known as esa huygens probe . it is named after christiaan huygens . he was a dutch astronomer , mathematician and physicist . <eos>"
"it is theoretically possible that the other editors who may have reported you , and the administrator who blocked you , are part of a conspiracy against someone half a world away they 've never met in person . <eos>","it is a near in the united reported you , and the new who blocked you , are part of a conspiracy against someone half a world away they 've never met in 1969 . <eos>",it is possible that the other editors who may have reported you is a part of the conspiracy . similarly the administrator who blocked you may also be a part of the conspiracy . the conspiracy is against someone they have not met in prison . <eos>
"the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>","the island chain forms part of the euphrates , separated from the scottish mainland and from the inner cord by the atom waters of the sahara , the little offerings and the sea of the euphrates . <eos>","the island chain forms part of the hebrides , separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch , the little minch and the sea of the hebrides . <eos>"
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed , a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>","one side of the armed conflicts is composed mainly of the vezina military and the euphrates , a restaurant traded group frequency mostly from the toronto browser tribes of the northern truly region . <eos>","one side of the armed conflicts is made of sudanese military and the janjaweed , a sudanese militia recruited from the afro-arab abbala tribes of the northern rizeigat region in sudan . <eos>"
"their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>","their strict is a professor of nuclear physics at the university of paris , and their grandson orbit margin , who was named after pierre curie , is a noted resort . <eos>","their granddaughter helene langevin-joliot is a professor of nuclear physics at the university of paris , and their grandson pierre joliot , who was named after pierre curie , is a noted biochemist . <eos>"
"some towns on the eyre highway in the south-east corner of western australia , between the south australian border almost as far as caiguna , do not follow official western australian time . <eos>","some of the region of western australia , between the south australian border almost as far as the south australian border almost as far as the south australian border almost as far as the first of the first of the north of the south australian border almost as far as the first of the same time<eos>",there are some towns in western australia that do not follow official western australian time . <eos>
perry saturn -lrb- with terri -rrb- defeated eddie guerrero -lrb- with chyna -rrb- to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>,perry saturn -lrb- with oil -rrb- defeated eddie guerrero -lrb- with scholarship -rrb- defeated eddie guerrero -lrb- with compressing -rrb- defeated eddie guerrero -lrb- with compressing -rrb- . <eos>,perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship -lrb- 8:10 -rrb- saturn pinned guerrero after a diving elbow drop . <eos>
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays , which have been used to decorate walls , furniture and boxes . <eos>",in the most states of the word of colored and an shell have been used to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to create to<eos>,"small pieces of colored and shiny shell has been used to decorate walls , furniture and boxes . <eos>"
"however , the bzo differs a bit in comparison to the freedom party , as is in favor of a referendum about the lisbon treaty but against an eu-withdrawal . <eos>","however , the academie periods a bit in the freedom party , as is in favor of a referendum about the lisbon treaty but against an narmada . <eos>","however , the bzo is different from a bit in comparison to the freedom party , as is in kind act of a referendum about the lisbon treaty but against a eu-withdrawal <eos>"
"in return , rollo swore fealty to charles , converted to christianity , and undertook to defend the northern region of france against the incursions of other viking groups . <eos>","in return , laurent , the northern region of the name of france against the angel of other viking groups . <eos>","rollo swore fealty to charles , changed to christianity , and undertook to standby the northern region of france against the incursions of other viking groups . <eos>"
"fearing that drek will destroy the galaxy , clank asks ratchet to help him find the famous superhero captain qwark , in an effort to stop drek . <eos>",the first of the name of the same of the first of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time . <eos>,clank asks ratchet to help him find the famous superhero captain qwark because he is afraid that drek will try to destroy the galaxy and wants to stop him . <eos>
"giardia lamblia -lrb- synonymous with lamblia intestinalis and giardia duodenalis -rrb- is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>","anchiornis es -lrb- euphausia with limburg -rrb- is a hindu anthem of the small intestine , causing homepage . <eos>","giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine , causing giardiasis . <eos>"
"the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>","the story of christmas is based on the biblical accounts given in the gospel of washington , namely - and the gospel of luke , kashmir - . <eos>","the story of christmas is based on the biblical accounts given in the gospel of matthew , namely - and the gospel of luke , specifically - . <eos>"
"on october 14 , 1960 , presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union . <eos>","on october 14 , the first of the first of what became the peace corps on the armenian of forest union . <eos>","john f. kennedy , a presidential candidate , proposed the idea for what became the peace corps on the steps of michigan union on october 14 , 1960 . <eos>"
"the apostolic tradition , attributed to the theologian hippolytus , attests the singing of hallel psalms with alleluia as the refrain in early christian agape feasts . <eos>","the third tradition , added to the vezina plain , behind to the vezina plain , behind to the vezina plain . <eos>","the apostolic tradition , connected to the scientist hippolytus who is an expert in theology , starts the singing of hallel psalms with alleluia as the repeated line in early christian lovable and wonderful festivals . <eos>"
"as a result , although many mosques will not enforce violations , both men and women when attending a mosque must adhere to these guidelines . <eos>","as a result , although many mosques will not enforce , both men and women when a mosque must report to these household . <eos>","although many mosques will not enforce rules , both men and women when there must follow these rules <eos>"
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>","it was found by stephen p. , 1979 while orbiting around jupiter . <eos>","it was found by stephen p. synnott in images from the voyager 1 space probe taken on march 5 , 1979 while orbiting around jupiter . <eos>"
"seventh sons have strong "" knacks "" -lrb- specific magical abilities -rrb- , and seventh sons of seventh sons are both extraordinarily rare and powerful . <eos>",the word of the word of the word of the word of the united states of the united states . <eos>,"seventh sons have strong "" knacks "" -lrb- specific magical abilities -rrb- , and he is extraordinarily rare and powerful . <eos>"
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra . <eos>,after he was appointed again director of the armenian concerto . <eos>,fter graduation he came back to yerevan to teach at the local conservatory and then he was appointed artistic director of the armenian philarmonic orchestra . <eos>
"she performed for president reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>","she performed for president reagan in 1988 's great performances at the white house series , which entered on the public broadcasting service . <eos>","she did a show for president reagan in 1988 's great performances at the white house series , which was shown on television on the public broadcasting service . <eos>"
each entry has a datum -lrb- a nugget of data -rrb- which is a copy of the datum in some backing store . <eos>,each entry has a desert -lrb- a hypothesis of data -rrb- which is a copy of the sindh in some backing store . <eos>,each entry has a datum -lrb- a nugget of data -rrb- which is a copy of the datum in some backing store . <eos>
the international fight league was an american mixed martial arts -lrb- mma -rrb- promotion billed as the world 's first mma league . <eos>,the international moon league was an american mixed . <eos>,"the world 's first mma league was the international fight league , and american mixed martial arts . <eos>"
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes , rolling hills estates and rolling hills . <eos>","the other incorporated cities on the clones frontier , the other incorporated cities on the clones frontier . <eos>","rancho palos verdes , rolling hills estates and rolling hills are three cities on the palos verdes peninsula . <eos>"
"this stamp remained the standard letter stamp for the remainder of victoria 's reign , and vast quantities were printed . <eos>","this was a lot of the remainder of victoria 's reign , and the first of the same of victoria 's reign , and the first of the same of victoria 's reign , and the first of the same of the same . <eos>","this stamp stayed the standard letter stamp for the rest of victoria 's reign , and many were printed . <eos>"
"this was the area east of the mouth of the vistula river , later sometimes called "" prussia proper "" . <eos>","the first area of the astronomical river , later sometimes called "" prussia "" prussia "" prussia "" . <eos>","this area , which later was sometimes called "" prussia proper "" , was east of the place where the vistula river begins . <eos>"
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour . <eos>,"he was a member of the vezina cathedral show for his heavy drinking and 24,100,000 units . <eos>",weelkes later found himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behavior . <eos>
"disney received a full-size oscar statuette and seven miniature ones , presented to him by 10-year-old child actress shirley temple . <eos>","disney received a slave oscar me and seven levels ones , presented to him by douglas child actress continue temple . <eos>","disney got a full-size oscar statuette and seven miniature ones , given to him by 10-year-old child actress shirley temple . <eos>"
"alessandro -lrb- "" sandro "" -rrb- mazzola -lrb- born 8 november 1942 -rrb- is an italian former football player . <eos>","alessandro -lrb- "" jeff "" -rrb- alves -lrb- born 8 november 1942 -rrb- is an italian football player . <eos>",alessandro mazzola is an italian former football player . <eos>
"formal minor planet designations are number-name combinations overseen by the minor planet center , a branch of the iau . <eos>",formal minor planet be used in the united states . <eos>,formal minor planet designations are number-name combinations overseen by the minor planet center . <eos>
"on 16 june 2009 , the official release date of the resistance was announced on the band 's website . <eos>","on 16 june 2009 , the official release date of the resistance was announced on the band 's website . <eos>",on june 16 2009 the official release date of the resistance was announced on the band 's website . <eos>
"his next work , saturday , follows an especially eventful day in the life of a successful neurosurgeon . <eos>","his next work , saturday , follows an especially writers day in the life of a successful ages . <eos>",his next work at saturday will be a successful neurosurgeon . <eos>
"it is situated at the coast of the baltic sea , where it encloses the city of stralsund . <eos>","it is situated at the coast of the baltic sea , where it is the capital of the baltic sea , where it is the largest of the baltic sea , where it is the largest of ticino . <eos>","it is situated at the coast of the baltic sea , where it encloses the city of stralsund . <eos>"
"at the voyager 2 images ophelia appears as an elongated object , the major axis pointing towards uranus . <eos>","at the voyager 2 images patterns appears as an tag object , the major rate of the same . <eos>",at the voyager 2 pictures ophelia appears as a stretched object . a stretched object was the major axis . it pointing towards uranus . <eos>
they are castrated so that the animal may be more docile or may put on weight more quickly . <eos>,they are added in the united states . <eos>,they are castrated so that the animal is docile or may put on weight quickly . <eos>
the great dark spot is thought to represent a hole in the methane cloud deck of neptune . <eos>,the great dark spot is thought to then a hole in the orbit cloud lines of neptune . <eos>,the great dark spot is thought to represent a hole in the methane cloud deck of neptune . <eos>
it was originally thought that the debris thrown up by the collision filled in the smaller craters . <eos>,it was originally thought that the elder royal up by the end of the elder . <eos>,it was thought that the debris thrown up by the collision filled the smaller craters . <eos>
"graham attended wheaton college from 1939 to 1943 , when he graduated with a ba in anthropology . <eos>",graham attended as a ba in indonesia . <eos>,graham attended wheaton college from 1939 to 1943 and graduated with a ba in anthropology . <eos>
"despina was discovered in late july , 1989 from the images taken by the voyager 2 probe . <eos>",he is a former famous taken by the voyager 2 institute . <eos>,"despina was discovered in late july , 1989 from the images taken by the voyager 2 probe . <eos>"
"by early on september 30 , wind shear began to dramatically increase and a weakening trend began . <eos>","by early on september 30 , wind shear began to the united states . <eos>","by early on september 30 , wind shear began to dramatically increase and a weakening trend began . <eos>"
fives is a british sport believed to derive from the same origins as many racquet sports . <eos>,claude is a british sport of the same origins as many birth sports . <eos>,"fives , a british sport , came from the same games as many racquet sports . <eos>"
she remained in the united states until 1927 when she and her husband returned to france . <eos>,she remained in the united states until 1927 when she and her husband returned to france . <eos>,she stayed in the united states until 1927 then she and her husband went to france . <eos>
the first italian grand prix motor racing championship took place on 4 september 1921 at brescia . <eos>,the first italian grand prix motor racing championship took place on 4 september 1921 at 1929 . <eos>,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia . <eos>
"many species had vanished by the end of the nineteenth century , with european settlement . <eos>","many species had found called the nineteenth century , with european settlement . <eos>","many species had disappeared by the end of the nineteenth century , with european settlement . <eos>"
"gomaespuma was a spanish radio show , hosted by juan luis cano and guillermo fesser . <eos>",harry <eos>,gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser . <eos>
"he was also named 1982 "" sportsman of the year "" by sports illustrated . <eos>","he was also named 1982 "" henry of the year "" sports . <eos>","sports illustrated named him "" sportsman of the year "" in 1982 . <eos>"
working group i : assesses scientific aspects of the climate system and climate change . <eos>,the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the first of the world of the united<eos>,working group i : makes note of climate system and climate change <eos>
